,별점,리뷰내용,작성자,작성일자,공감,비공감
480,9,어벤져스 시리즈 중 가장 뛰어난 액션과 스토리 그리고예상치 못한 충격적인 결말이 어우러진 마블 최고의 명작 중 하나 ,박세찬(sech****),2019.04.28 00:30,6,0
481,10,엔딩이 정말..충격이었다 ,부산인(tomm****),2019.04.28 00:00,6,0
482,10,빨리이제 엔드게임보러가야것다 ,망고하임(khrn****),2019.04.27 00:45,6,0
483,10,번역가 박모씨만 아니면 평점 9.4는됐을듯 ,aaaa(chal****),2019.04.25 01:32,6,0
484,10,번역가만 빼고 완벽한 마블영화(=^ェ^=) ,adid****,2019.04.03 19:57,6,0
485,10,그럼...우리 스파이더맨은 아예 죽은거에요?..우리 가모라는...?우리 완다는...?다 다시 살아나는거죠?그렇다해줘여 ,ehow****,2019.04.03 01:23,6,0
486,10,내가 본 마블 영화 중에 가장 재미있었다 ,손석(miri****),2019.03.07 00:47,6,0
487,10,그저 영화관에서 못본게 한이지 ,곤살로이과인(spdj****),2019.02.15 14:47,6,0
488,10,이 영화는 하나의 역사가 될것같다 ,김우섭(s006****),2019.02.07 20:26,6,0
489,10,"최고의 영화입니다, 점수가 낮네요 ",bgyu****,2019.02.07 07:19,6,0
490,10,ㅂㅈㅎ 때문에 쫄보가 되신 우리 닥스형님ㅠㅠ ,프로똘끼남2018(kimt****),2019.01.14 17:36,6,0
491,10,이 영화는 역사적으로 기록 됄겁니다. ,강아지(wsf6****),2018.12.26 18:31,6,0
492,10,ㅋㅋ어벤져스4 가망없음ㅋㅋ번역가 제발 교체좀 ,벼느(runz****),2018.12.08 01:39,6,0
493,9,지훈아 큰일났닼ㅋㅋㅋ4 제목 가망없닼ㅋㅋㅋ ,Jamie(letm****),2018.12.08 00:30,6,0
494,10,캬~ 4편 제목이 어벤져스: 가망없음 이던데 제목에서부터 가망없다고 스포를 해서 기대도 안되네요 ㅎㅎ ,인삼(ppp4****),2018.12.07 22:55,6,0
495,10,관람객마블 유니버스와 함께 동시간대를 살며 볼수있다는게 참으로 행복 ,정이(wjdq****),2018.08.05 00:14,6,0
496,10,관람객타노스가 주인공인게 맞지? ,뿌엉범(taro****),2018.07.15 17:13,6,0
497,8,관람객ㅋㅋ번역가좀 짤라주세요 ,마스체라노(pops****),2018.07.15 01:55,6,0
498,10,관람객번역빼고 꿀잼ㅁ인ㄱㄴ긋ㅈㅇㅈㅂ ,용후(poik****),2018.07.14 13:35,6,0
499,1,영화는 10점인데 번역가때문에 1점 날린다 번역가가 영화 스토리를 바꿔놨네 ,성해성해2(8112****),2018.05.15 16:42,6,0
500,10,"관람객닥터 스트레인지 마지막 대사 ""이제 다 끝났어""는 오역입니다. ""이게 마지막 단계야""가 옳은 번역입니다. 모두들 볼 수 있게 위로 올려주세요. 또 마블의 번역가 박읍읍씨가 해냈네요. 영화...",fdfsadf(wldm****),2018.05.13 13:54,6,0
501,10,관람객그냥 한마디로 재미있었음 ,TJDY(clow****),2018.05.08 02:46,6,0
502,10,관람객두번 봤어요~~완전 잼나용 ,suna****,2018.05.07 21:23,6,0
503,10,관람객착한 독과점 인정합니다. ,ybup****,2018.05.07 21:19,6,0
504,10,스파이더맨 죽을때 눈물이... ,깜딸(soyu****),2018.05.06 17:30,6,0
505,8,미블 시리즈 다 안본 사람들은 이해안됨 ,너구리(imks****),2018.05.05 22:33,6,0
506,10,로키 we have hulk에서 키야~~ 했고캡틴 등장씬에서 우와!!!! 스파이더맨 버스에서날라갈때 개멋지고 토르 재등장씬에서 오줌싸고와칸다 포에버 할때 진심 나도 같이 뛰어갈뻔 했다 ,이중인격(ppoo****),2018.05.05 15:54,6,0
507,10,"나만 토르랑 로켓 대화할때 눈물 찔끔 흘렸냐? ""두번 붙어 보진 않았다"" ",겜붕이만붕이(ert8****),2018.05.05 15:49,6,0
508,10,관람객그냥 개별적인히어로들을 모으는 스토리발상자체도 천재적인마블 역대급임 ,wjst****,2018.05.05 11:14,6,0
509,10,관람객굿   뻔한결말 아니어서  좋았음액션은  여태본것중 최고였음다음시리즈 무척 기대됨^^ ,d012****,2018.05.05 10:26,6,0
510,10,관람객지렸다 오졌다 쌌다 숨졌다 ,Banjae(bans****),2018.05.04 20:28,6,0
511,10,관람객토르는 신이였다.  ㄹㅇ ,김씨러프ㅋ(back****),2018.05.03 21:09,6,0
512,10,로키는 진짜 이대로 죽은건가요? 나름 애정하는 캐릭이었는데 초반에 넘 충격이었음ㅜㅜ ,지제리(baga****),2018.05.03 18:00,6,0
513,10,관람객겁나 재밌게 봤습니다 ㅋㅋ 토르 눈알 개간지 ,qorg****,2018.05.02 23:44,6,0
514,10,관람객갓마블 어벤져스4 기대 합니다. ㅎㅎ ,jtnd****,2018.05.02 16:31,6,0
