,별점,리뷰내용,작성자,작성일자,공감,비공감
738,10, 한국 액션영화와는 스케일이 다르다는 걸 알게 된 영화 ,Sense(soba****),2015.05.09 21:37,3,0
739,10,완전재밌게봤어요~근데 1편보고 호그아이랑 로마노프랑 러브라인일줄알았는데 알고보니 호크아이가 유부남.... 뒷통수 제대로 맞은느낌 ,효림(rhr1****),2015.05.09 21:09,3,0
740,6,두시간동안 만화책을 읽은 기분 ㅡ.ㅡ ,JAY(cool****),2015.05.08 20:12,3,0
741,2,앞부분이 너무우우우우 지루했어요 ,앙앙이랑(minh****),2015.05.08 19:13,3,0
742,9,'국제시장' 보고 난 뒤에 이걸 보니. 미국놈들이 영화는 참 잘 만든다는 생각이 드네 ,곰돌이(lsry****),2015.05.07 19:10,3,0
743,2,돈주고 cg기술력 본기분. ,시으닝(dd92****),2015.05.07 18:18,3,0
744,10,재미없다그래서 기대안하고봤는데 잼나던데 ,marie(ange****),2015.05.07 11:06,3,0
745,10,"사람들은 서울장면이 너무 후지게 나왔다고들 하지만 나는 나름대로 괜찮다고 생각했꼬,개인적으로는 1탄보다 2탄을 더 재밌게 봤다.재밌었다! ",나ㅁ유ㅜㅜ(jjin****),2015.05.06 20:16,3,0
746,7,애들이랑 함께보기 좋았다.전편도 보고싶어진다 ,MinSeon(asus****),2015.05.06 06:28,3,0
747,10,정말 시리즈 1이나 2나 재밌ㅇ는건 여전하네요ㅠㅠ딴생각 아예 안들게 몰입하고 본영화..마블팬이라 진짜 너무재밌었어요..♥ ,그냥(pink****),2015.05.05 21:18,3,0
748,8,왕십리 아이맥스 예매 해서 좀 늦었는데 딴분들이 앉았더라구요 우리 일행 사이에 다른분들 계시고 다른분들한테 방해 될까봐 우리 자리에 있는분들한테 말도 못걸고 도저히 맨 끝자리에선 눈 아파서 못보겠더라구요 그래서 나왔...,Js(kjs7****),2015.05.05 05:28,3,0
749,10,"난 진짜 잼있게 봤음 근데 1편 꼭 보고 봐야하고 더 잼있게 볼라f면 . . 아이언맨 3편까지보고 캡틴아메리카 1.2편 토르 1.2편 다봐야 2배잼있게 볼수있음 ,...만약 아무것두 안보고 그냥 2봤음 무슨 내용인지...",lpmn****,2015.05.05 03:08,3,0
750,10,아직 두번밖에안봤지만  계속봐도 안질림 ,topg****,2015.05.05 01:20,3,0
751,10,"자칫 영화가 재미없다고 느껴진다면그건 마블 특유의 영화끼리의 연관성에대해 잘모르는것이다. 액션도 좋고, 역시나 빠지지 않는 어벤져스식 개그.한국 보여주는것도 깔끔한편이었다 ",shaw****,2015.05.04 22:43,3,0
752,10,그냥 가서 보세요...이건 정말 레전드야 ,예륌(yeri****),2015.05.04 20:48,3,0
753,8,어제 영등포 cgv 아트리움에서 관람하는데 영화는 좋았으나 요새도 앞좌석에 발길질을 하는 비매너가 있네요. 뒷자리에서 영화시간내내 버둥거리면서 발길질하는데 영화에 집중할 수 없었습니다. 이제 옛날일이라고 생각했는데 ...,위기동(nioc****),2015.05.04 14:04,3,0
754,10,재미없다는사람들은 얼마나더재미있어야재밌다고할까....? ,권지아(jian****),2015.05.04 08:46,3,0
755,10,으헝헝ㅠㅠ 완죤 잼났어!!프리미엄에 4만원 투자한 보람이 있음^^ ,수하치(kjot****),2015.05.04 01:38,3,0
756,10,진짜 재밌었는데 평점이 왤케낮지 ,이게뭐야(diju****),2015.05.03 22:55,3,0
757,8,깊이감과 메세지가 없을 걸 알고 보는 영화 아닌가킬링타임으로는 훌륭하다. ,이민엽님(cyde****),2015.05.03 22:23,3,0
758,10,알바ㅅ1ㅐ끼들 돌1앗나ㅡㅡ 진심핵잼임 재미없긴OO하고있네;; ,김가영(rla8****),2015.05.03 22:02,3,0
759,10,굿굿굿!1!1!1!1! ,헤르미온느(qowl****),2015.05.02 23:20,3,0
760,5,기대가 너무 컸나...그저 그런 킬링타임용으로 딱.화려한 CG 빼면 즉석떡볶이만... ,늘처음처럼(ckj1****),2015.05.02 22:50,3,0
761,10,진심 멋있어요첫 등장부터 멋짐 진짜 심쿵우리나라 나오는 것도 신기하고 ,지은(hlov****),2015.05.02 21:02,3,0
762,6,피융피융 펑!펑! 우르르르르~~ ,비실이(junh****),2015.05.02 20:52,3,0
763,10,3기대됨 그냥 가서들 보시길 ㅎ ,통신지원관(qudz****),2015.05.02 15:37,3,0
764,10,히어로몰치고 스토리도 나쁘지 않고 무엇보다도 액션신이 많은게 마음에 듭니다 .액션신이 많은데 스토리도 좋아요.이런영화많지않습니다.무엇보다도  영화하나하나가 계속 연결돼니까 계속 보게되는 그런영화.마블빨들이라고하는데 ...,권(rnjs****),2015.04.30 23:08,3,0
765,10,솔직히 잼 난 좋았듬 ♡♡ ,yme2****,2015.04.30 03:01,3,0
766,10,왕십리 아이맥스 4dx 중간자리에서 보려고 2년의 기다림 이후에 개봉하고도 일주일 기다려서 본 보람이 있네요... 퀵실버 좋아해서 좀 아쉽긴 하지만! ,데스티니(dmsa****),2015.04.30 02:37,3,0
767,10,4d 3d 로 재밌게 봅. 9.5 정도... 꼭 보삼 ,불사조(luck****),2015.04.30 02:28,3,0
768,9,말이필요없음  근데1편은10점 2편은 9점 스토리 -1점 ,우로쯔키(sjui****),2015.04.29 22:04,3,0
769,7,그닥 좋지도 나쁘지도 않고 한 번쯤 볼만한 영화 마케팅이 성공한 케이스~ 한국 팬들을 위해 몇컷 정도의 한국 배우를 쓴것 한국 배경이 나오는것 .그냥 시원하게 한 번은 볼만한 영화 ,주니(smje****),2015.04.29 20:52,3,0
770,10,이정도면 잘만들었구만 히어로무비에서 심오한 이야기를 들으려하니 문제지... ,gpe2****,2015.04.29 20:10,3,0
771,10,약간 어수선하다고 느끼긴 했지만 많은 등장인물들을 잘 소화해낸거같아서 재밌었음. 근데 그 '비전'은 왜나온지 잘 모르겠음..ㅜㅜ 단순히 새로운 등장인물 소개라고보기엔 너무 이야기가 많았는데 딱히 이 영...,슈부인(hjoo****),2015.04.29 19:35,3,0
772,7,정신없이 부수는데 스토리가 좀 아쉽다. 3편엔 만회하기를 ,왼손버디(hjro****),2015.04.29 19:15,3,0
773,9,좋아요닥터조로나오는수현도 너무너무좋아요 ,돌쟁이(ccoo****),2015.04.29 19:06,3,0
774,7,"왕imax와 여의도4d를 보고 나서는 4d가 제일 괜찮았어요. 하지만 전작보다 재미는 확실히 떨어지는 건 맞는 말이구요. imax는 좀 심심했고, 4d가 좀더 낫더라구요. 그리고 엔딩크레딧에 올라가는 음악들도 좋았습...",이레(pian****),2015.04.28 16:12,3,0
775,10,역시 기대를 저버리지않는군요 ,GHYE(rkaq****),2015.04.28 06:22,3,0
