,별점,리뷰내용,작성자,작성일자,공감,비공감
64,10,정주행중인데 지금봐도 안꿀리네 ,GTR(rela****),2019.05.07 00:59,9,0
65,10,전설의 시작을 알리는 작품 ,RKskell(juny****),2019.04.28 01:06,9,0
66,10,1점 주는 인간들 때문에 10점이다.. ,OST(orph****),2018.07.11 10:14,9,0
67,10,이런걸 국뽕 삼류영화랑 비교하나 ㅋㅋ 진심 ,정소연(symo****),2019.08.18 16:41,10,1
68,10,저스티스리그보면 이 영화가 얼마나 더 대단한지 알수있음 ,반찬(raul****),2019.07.31 20:31,10,1
69,10,어벤져스 시리즈중 가장 재밌다 ,토르(mini****),2019.05.03 21:42,10,1
70,10,1점주는 것들은 제정신이 아닌듯 느그들땜시 10점준다 ,느와르(qorw****),2018.04.29 15:42,9,1
71,9,"연출도 CG도 모두 좋은데, 그 중에서도 OST는 진짜 잘 만들었다.. ",Whity(yjbg****),2018.04.27 12:34,9,1
72,10,이걸 왜 진작에 안 봤는지ㅠㅠㅠ 진짜 너무 재밌다 ,oksi****,2016.08.23 12:57,9,1
73,10,아 왜 이 영화를 이제서야 봤을 까 ㅡㅡ; ,고슴도치(newn****),2014.07.27 02:43,9,1
74,8,지금 보니까 캡틴 복장 엄청 촌스럽네ㅋㅋㅋㅋ ,채린(cher****),2019.04.13 23:11,10,2
75,7,확실히 마블 시네마틱에 대해 어느정도는 파악해야 이영화를 재밌게볼듯.. 솔직히 아무것도 모르고 봤을땐 별로 재미없었음 ,노코멘또(sjss****),2016.11.04 16:51,11,3
76,8,전작을 안본 사람들도 이해되는 작품 ,아헤벨겨(kkc7****),2019.04.25 13:20,7,0
77,10,내가 이걸 여태까지 10점을 안줬다고? ㅋ ,ajksdhjksq(kore****),2018.04.28 22:07,7,0
78,10,말이 필요한가 굳이? 음? ,고록바의슬픔(ehst****),2018.04.01 16:47,7,0
79,10,Avengers assemble!! ,샤프클로(ldw5****),2018.01.19 10:35,7,0
80,9,어느 순간부터 액션물이나 환타지물에게도 철학을 묻게된다. ,무파마(sohw****),2015.05.04 02:11,8,1
81,10,히어로들도 골고루 잘 나오고 짱잼임! ,다크아이(jerl****),2015.04.15 22:14,8,1
82,10,핵꿀잼이었느데 왜 8점이냐 ,펀크(rlar****),2015.04.13 16:39,8,1
83,7,어쩌면 엔드게임에서 수십명의 영웅들이 모인 장면보다도 이 영화에서 6명의 영웅들이 모인 장면이 더욱 위대한 것일지도... ,pix(pixa****),2020.05.16 09:19,6,0
84,10,난 이 영화가 다른 마블영화들과 연결되어 지는줄도 몰랐고 지팡이에 스톤이 이렇게 중요한지도 몰랏다8년전에 영화관에서 봤을땐 그냥 액션영화 같아서 그냥 본건데지금와서 이영화를 다시 봐야할정도로 스토리 짜임새가 대단함 ,핥(gkag****),2020.04.09 00:05,6,0
85,10,이것의 탄생으로 모든것이 시작됬다 ,김연우(0510****),2019.10.03 12:51,6,0
86,7,종합선물세트로는 제격 ,지미(elem****),2019.09.12 18:11,6,0
87,10,이제서야 본걸 후회중이에요 ,뮤뮤(chea****),2019.09.04 23:13,6,0
88,10,다시봐도 재밋다. 헐크와 언맨의 캐미 ㅋㅋ ,장형(wkdt****),2019.07.11 22:16,6,0
89,9,다시봐도 역시 재밌다. 이때 봤을때만해도 짐작할수도 없었는데ㅠ 쿠키에 타노스가 나왔을줄이야. ,나는야속기사(ljra****),2019.04.30 22:00,6,0
90,10,영화를 본 뒤엔 슈와마를 먹어주자. ,mjw1****,2019.04.30 03:44,6,0
91,10,히어로 영화계의 새로운 역사를 보여준 걸작. ,mins****,2019.04.29 11:57,6,0
92,8,이때부터 마블의 전성기이자 스케일이 엄청 커진 영화. ,호랑이 파워(wpwn****),2018.06.14 01:52,6,0
93,10,위대한 마블시리즈의 시작 ,김세호(gim9****),2018.04.24 17:09,6,0
94,10,마블은 아묵하고 10점 ㅇㅋ? ,크앙(z826****),2018.04.23 09:07,6,0
95,10,히어로물은 뻔한 권선징악에 유치하다는 편견으로 마블영화 거의 안봤다가 요즘 시간남아 몰아보고 있는데 내가 왜 그 딴 생각을 했나 반성하게됨. 왜 사람들이 마블에 환장하는지 알겠더라. ,Damien(yoos****),2019.02.25 02:01,7,1
96,10,"이거 평점을 왜 이제야 쓰게 되었는가? 개봉 당시 큰 충격을 가져 온  희대의 역작, 어벤져스 ",박실(qkrt****),2018.04.15 06:42,7,1
97,10,평론가 허지웅씨 예지력 오지네ㄷㄷ ,구민재(mmjj****),2018.03.22 18:14,7,1
98,8,어설픈 스토리와 전개는 재껴두자~ 모든마블영웅들의 이야기가 궁금해지는 영웅s영화!! 속편들 두고두고 나오길 기대해본다 ,baer****,2013.09.10 09:05,10,4
99,10,내 인생 최고로 강렬하고 짜릿한 로맨틱영화 ,jiro****,2021.08.29 00:27,5,0
100,9,어벤져스부터 마블 영화 보기 시작한 사람 손! ,햇살소년(wjdg****),2019.10.10 01:18,5,0
101,10,CG 가상적이고 좋았다 ,바탕색(zzhe****),2019.09.12 18:52,5,0
102,10,아이언맨이주인공인줄 ,피카츄(pika****),2019.09.01 08:25,5,0
103,7,마블을 흥행이라는 궤도에 성공적으로 안착시키다 ,탱고와페라리(swel****),2019.08.31 16:23,5,0
104,10,마블 히어로들이 모였다 마블영화중에서는 최고의 영화 ,완치확정현석(glgl****),2019.08.06 02:49,5,0
105,10,전설의 시작 주제곡 너무 소름돋음 ,wthn****,2019.07.11 22:16,5,0
106,10,2019년에 오신분!! ,머루(taij****),2019.06.05 00:55,5,0
107,10,헐크가 로키 뚜까팰때 겁나 사이다 ㅋㅋㅋ ,BonaFide(rhee****),2019.05.26 21:53,5,0
108,10,다시보는 시즌1! 완전 꿀잼~ ,강태일(gsh2****),2019.05.09 16:11,5,0
109,10,동료가 지나갈 수 있게 철조망에 누워줄 인물이 아니지..여기서 울컥했다.. ㅠㅠ ,찬s(cwoo****),2019.05.07 03:01,5,0
110,10,"채널 돌리다 ocn에서 하길래 보는중인데,가만보니 어벤져스들의 첫만남이 다시보는 시점에서 유쾌하면서도 뭉클하다 ㅎ ",xcv5****,2019.05.03 20:37,5,0
