,별점,리뷰내용,작성자,작성일자,공감,비공감
835,10,관람객너무 재밌어요~~~3000만큼사랑해요 ㅋ ,xxcc****,2019.06.29 11:59,4,0
836,10,관람객마블시리즈 러뷰~ 눈물난거 실화 ㅠ ,꽃길만걷자(orrn****),2019.06.29 11:43,4,0
837,10,관람객엔드게임이란 제목에 맞는 훌륭한 엔딩~ ,kier****,2019.06.28 17:48,4,0
838,10,역대급 최고의 영화 후회없는 선택 ,으라차차짜(love****),2019.06.28 15:36,4,0
839,10,관람객슬퍼요.... ㅠㅠ 아이언맨 영원하라~ ,행복(star****),2019.06.28 11:41,4,0
840,9,관람객아주 재밌게 봤습니다. ,hoho****,2019.06.28 05:20,4,0
841,10,3000만큼 사랑합니다 토니스타크♡♡ ,ernest selbon(kgh0****),2019.06.28 00:29,4,0
842,10,최고영화  영화 역사를 바꿀 흥행 클라이멕스!!!! ,amit****,2019.06.27 23:02,4,0
843,10,안녕하세요 어벤져스영화다봐어요어벤져스엔드게임너무재밌어요아이언맨이죽어서너무슬퍼어요ㅠㅠㅠ어벤져스마블좋아해요어벤져스영화열심히볼게요그리고어벤져스마블힘네세요화이팅어벤져스영화가재밌가있어별점다섯게드릴게요그리고옛날에영화관에서옛날어...,안준혁(euey****),2019.06.27 22:50,4,0
844,10,관람객최고의 감동이였다   앞으로도 ,다다오(vndt****),2019.06.27 21:31,4,0
845,10,관람객마블 팬들에게 주는 최고의 선물 ,김철국(kimc****),2019.06.27 21:09,4,0
846,10,관람객세번봤다  별점 게이지가  왜 10뿐인가? ,백에디(pizk****),2019.06.27 10:00,4,0
847,10,영화가 매우 멋이있고 재밌었습니다 ,byki****,2019.06.26 07:39,4,0
848,10,마블이 영화를 일년에 열편 이상씩 만들었으면... ,Rio(nano****),2019.06.26 00:01,4,0
849,10,쫌 늦었지만 다시봐도 재밌었음.. ,천꾹(sims****),2019.06.25 23:49,4,0
850,10,마블 최고2대 아이언맨 ,face****,2019.06.25 23:23,4,0
851,10,관람객늘 볼 만해요  앤드가 아니면 좋겠네요 ,smile(loio****),2019.06.25 21:39,4,0
852,10,very very amazing ,고세현(tpgu****),2019.06.25 16:50,4,0
853,10,관람객그냥 모든게 완벽!하다는 말밖에... ,문정(rkan****),2019.06.25 02:15,4,0
854,10,관람객멋있고 좋은 결말이였다 ㅠㅠ ,외로운(acda****),2019.06.25 01:35,4,0
855,10,관람객고마웠다 재밌었다 어벤져스 ,CcoKko(lgh4****),2019.06.25 00:15,4,0
856,10,로다주 돌아와요~ ㅠㅠ ,에쉬(elys****),2019.06.24 23:50,4,0
857,9,관람객남녀노소 즐길수있다 재밌게봤다잉 ,권다애(free****),2019.06.24 23:22,4,0
858,9,재미있고 잘 만든 결말이지만 씁쓸하고 허탈한 기분이 드는 결말 ,Macadamia(skyt****),2019.06.24 23:21,4,0
859,10,관람객감동이네요~~완벽한 마무리! ,삽질매냐(bloo****),2019.06.24 10:51,4,0
860,10,관람객어벤져스 어셈블!!! ,tall****,2019.06.24 10:41,4,0
861,10,관람객재밌었어요. 페미영화라고 학을 떼는 사람들이 있다던데 도대체 어디? 참고로 난 아저씨. ,Segundo(perc****),2019.06.24 09:44,4,0
862,10,관람객아직도 생생한 전율ㄷㄷ ,moon****,2019.06.24 09:26,4,0
863,10,관람객이걸 내가 어떻게 평가해 어벤져스 어쎔블. ,포도(dmtp****),2019.06.24 04:35,4,0
864,10,관람객토르 아이언맨 캡틴마블 캡틴아메리카 블랙위도우 헐크 ,순식간이야(dmsc****),2019.06.23 22:39,4,0
865,10,아이언맨과 캡틴 아메리카 팬들에게는 최고의 영화로 기억될 것 입니다. ,Hun(hunt****),2019.06.23 21:37,4,0
866,10,내가 본 영화중 최고의 영화!! 마블 3000만큼 사랑해!!감사합니다 스탠리 할아버지 ,모얄FREEZON(zwam****),2019.06.23 14:16,4,0
867,10,관람객대서사시의 완벽한 마무리 ,rptd****,2019.06.23 13:07,4,0
868,9,나쁘지 않게 봤어. 뭐 앞으로 10년동안 이런 영화는 없겠지만 말야 ,worl****,2019.06.23 13:05,4,0
869,9,관람객마블영화 좋아요... ,이현석(rnlh****),2019.06.22 19:53,4,0
870,10,관람객눈물이 장난이 아니에여 ㅜㅜ ,소기조바(leeh****),2019.06.22 19:52,4,0
871,10,아이언맨1편을 시작으로 모든 영화를 다 본사람과 그렇지 않은 사람이 볼 수 있는 시퀸스의 차이가 너무나 크다 다만 띄엄띄엄 봐왔던 사람도 충분히 스토리의 진행을 최소한이나마 이해 할 수 있도록 연출은 훌륭했다. 길었...,CMSeong(yhse****),2019.06.22 08:41,4,0
872,9,"예상밖의 결말은 아니였지만, 그래도 좋았습니다. ㅜㅜ ",lee88(shak****),2019.06.21 15:42,4,0
873,10,"관람객러닝타임이 3시간인데 1시간 같이, 시간가는 줄 모르고 봤어요. ",Roylz(a203****),2019.06.21 14:47,4,0
874,10,관람객너무  신나요   아이들이  좋아하네요 ,4040(na49****),2019.06.21 13:54,4,0
875,10,관람객엔드게임 재미있게  보았네요 ,윤학수(xx22****),2019.06.21 11:09,4,0
876,10,관람객어린시절을 히어로와 함께보낸 아저씨가 박수를 보냅니다. ,ccch****,2019.06.21 10:33,4,0
877,10,관람객재밌어요 믿고보는 마블 ,칠판친놈(mand****),2019.06.21 10:33,4,0
